epoch,accuracy,loss,val_accuracy,val_loss
0,0.132,2.2383670063018797,0.26,2.1543967723846436
1,0.208,2.0970240631103514,0.3,2.0394013023376463
2,0.308,1.9905624771118164,0.32,1.925676383972168
3,0.426,1.8812317066192628,0.58,1.8082907009124756
4,0.486,1.7665446004867553,0.58,1.68326003074646
5,0.554,1.6587489309310912,0.66,1.5638063955307007
6,0.586,1.5607100505828857,0.62,1.4557549476623535
7,0.558,1.475367353439331,0.62,1.3813788843154908
8,0.598,1.4027916040420532,0.62,1.3222667121887206
9,0.594,1.3435769557952881,0.66,1.273581986427307
10,0.618,1.2905290508270264,0.64,1.2336149024963379
11,0.638,1.245904435157776,0.66,1.201289405822754
12,0.65,1.2081796913146972,0.66,1.162127366065979
13,0.636,1.1697645983695983,0.66,1.144099941253662
14,0.662,1.1383013935089112,0.64,1.1184837293624879
15,0.672,1.1087451038360596,0.62,1.095258617401123
16,0.668,1.0858510851860046,0.64,1.0854743146896362
17,0.68,1.0613252763748169,0.64,1.077679624557495
18,0.682,1.0416797609329225,0.6,1.073001217842102
19,0.704,1.0135189089775085,0.62,1.0516307258605957
20,0.688,0.9937394847869873,0.6,1.0503024101257323
21,0.688,0.9785246772766113,0.6,1.0355932235717773
22,0.7,0.9607404942512512,0.62,1.046858263015747
23,0.704,0.9479981203079224,0.62,1.0399320554733276
24,0.684,0.9291905703544616,0.56,1.0322141075134277
25,0.718,0.9151017475128174,0.62,1.0349664783477783
26,0.71,0.9075330371856689,0.58,1.0306547355651856
27,0.716,0.8906958608627319,0.6,1.0051394844055175
28,0.706,0.8952304878234864,0.6,1.0036540031433105
29,0.716,0.8776580958366395,0.56,1.0252975273132323
30,0.734,0.8708411903381348,0.6,0.9988655567169189
31,0.716,0.8608626933097839,0.6,1.00206600189209
32,0.716,0.8511742200851441,0.56,1.0195923566818237
33,0.72,0.8362789402008056,0.6,1.0019809436798095
34,0.71,0.8480648431777954,0.56,0.9799158906936646
35,0.716,0.8399994158744812,0.6,1.0140378379821777
36,0.722,0.8296032400131226,0.58,0.9857675409317017
37,0.72,0.8283376340866089,0.56,1.001103115081787
38,0.728,0.8125431261062622,0.62,1.0031444311141968
39,0.734,0.8039022746086121,0.58,1.005267424583435
40,0.73,0.7958387150764465,0.6,1.000352644920349
41,0.728,0.7936511735916137,0.62,1.0173052740097046
42,0.718,0.8027609167098999,0.58,0.9863371706008911
43,0.73,0.7940320558547974,0.6,1.0008894443511962
44,0.736,0.7884310107231141,0.6,1.0104483652114868
45,0.728,0.7780647883415223,0.6,1.0090687370300293
46,0.736,0.7720862989425659,0.58,1.0009868621826172
47,0.728,0.7683127365112304,0.58,0.9958389806747436
48,0.736,0.7627178816795349,0.6,1.001673650741577
49,0.74,0.7591708912849426,0.6,1.0215169954299927
50,0.726,0.7579246878623962,0.6,1.0032454204559327
51,0.726,0.7682602267265319,0.6,1.000524525642395
52,0.74,0.7641790781021118,0.58,1.0055021333694458
53,0.736,0.7524778380393982,0.6,1.0075823450088501
54,0.736,0.7472044329643249,0.56,1.0036607313156127
55,0.732,0.744162844657898,0.62,1.014682068824768
56,0.74,0.7423928136825562,0.58,1.0369340229034423
57,0.732,0.7395593328475952,0.62,1.0355426692962646
58,0.732,0.7277922415733338,0.58,1.005309648513794
59,0.746,0.7243669481277466,0.6,1.0354163932800293
60,0.742,0.7270469484329224,0.6,1.0137168264389038
61,0.748,0.7211306147575378,0.6,1.0331673192977906
62,0.746,0.716954113483429,0.6,1.028725118637085
63,0.748,0.7350879249572754,0.62,1.0276477098464967
64,0.732,0.7304827418327332,0.6,1.0251405048370361
65,0.744,0.7233214254379272,0.62,1.0178759765625
66,0.738,0.715869743347168,0.58,1.0316698217391969
67,0.734,0.7196386260986328,0.6,1.0198593521118164
68,0.746,0.7095227093696594,0.58,1.04761971950531
69,0.75,0.7034815673828125,0.58,1.0581899118423461
70,0.742,0.7019638490676879,0.62,1.0239005184173584
71,0.752,0.6973359255790711,0.6,1.0436774396896362
72,0.746,0.6933266477584838,0.58,1.061730751991272
73,0.75,0.6905296626091003,0.58,1.0447461938858031
74,0.748,0.6860071592330933,0.58,1.0465246200561524
75,0.748,0.7015528993606568,0.6,1.0406089687347413
76,0.74,0.6971965365409851,0.6,1.027679443359375
77,0.736,0.6918085927963257,0.56,1.0488168478012085
78,0.748,0.6905159492492676,0.58,1.072395601272583
79,0.75,0.6894175972938538,0.62,1.0552916526794434
80,0.74,0.6912846570014953,0.6,1.0517330694198608
81,0.742,0.6812151794433594,0.6,1.0621866798400879
82,0.75,0.6814446759223938,0.58,1.06680260181427
83,0.754,0.6770284616947174,0.58,1.0511049842834472
84,0.752,0.6726304483413696,0.58,1.094179539680481
85,0.75,0.6709982442855835,0.6,1.0637086677551268
86,0.744,0.6633877272605896,0.58,1.0810600519180298
87,0.756,0.6748970766067505,0.62,1.0664606142044066
88,0.74,0.6731961679458618,0.6,1.0508159589767456
89,0.75,0.6700601596832275,0.58,1.098358702659607
90,0.76,0.6703506674766541,0.56,1.076886410713196
91,0.754,0.6624088201522828,0.6,1.0760775327682495
92,0.76,0.6614189915657044,0.56,1.0754445457458497
93,0.754,0.6536564011573791,0.6,1.075931601524353
94,0.754,0.6501030101776123,0.56,1.09461416721344
95,0.754,0.650700296163559,0.6,1.080042963027954
96,0.762,0.648153754234314,0.54,1.0986249351501465
97,0.76,0.6459960832595825,0.58,1.0827531433105468
98,0.762,0.6387983026504517,0.6,1.0872482299804687
99,0.76,0.6374482095241547,0.54,1.1037295961380005
100,0.76,0.6397010951042176,0.54,1.0989347791671753
